Programa,Numero_consecutivo,Numero_de_Ident_de_pieza,Date,Time,Recorrido_fusion_mm,Corriente_maxima_kA,Area_de_corriente_AS,Energia_acumulada_kJ,Fuerza_soldadura_kN,Corriente_max_1_kA,Area_de_Corriente_max_1_As,Corriente_max_2_kA,Area_de_Corriente_max_2_As,Corriente_max_3_kA,Area_de_Corriente_max_3_As,Corriente_max_4_kA,Area_de_Corriente_max_4_As,Evaluacion
30DS29,53948,221003T114101  53948,2022-10-03,11:41:01,"0,402","165,919","1386,15","21,6939","31,5848","41,3556","335,669","41,2266","335,251","40,8395","370,917","42,4975","344,31",OK
30DS29,53949,221003T114106  53949,2022-10-03,11:41:06,"0,376","166,171","1394,17","21,6787","31,5713","41,3491","337,805","41,1362","337,794","41,0975","374,123","42,5879","344,446",OK
30DS29,53950,221003T114111  53950,2022-10-03,11:41:11,"0,41","165,545","1380,66","21,6635","31,5532","41,4846","339,9","41,1943","335,509","40,7556","366,94","42,1104","338,307",OK
30DS29,53951,221003T114116  53951,2022-10-03,11:41:16,"0,406","165,939","1386,61","21,6692","31,4313","41,3427","337,764","41,2975","336,506","40,8459","369,38","42,4524","342,96",OK
30DS29,53952,221003T114221  53952,2022-10-03,11:42:21,"0,412","166,435","1397,92","21,6958","31,3567","41,6975","343,335","41,162","336,37","41,1233","374,64","42,4524","343,579",OK
30DS29,53953,221003T114227  53953,2022-10-03,11:42:27,"0,394","166,739","1403,32","21,654","31,5035","41,833","345,823","41,5104","342,441","41,0007","372,542","42,3943","342,518",OK
30DS29,53954,221003T114232  53954,2022-10-03,11:42:32,"0,408","165,416","1380,97","21,673","31,5216","41,3104","335,823","41,0782","334,64","40,7814","369,69","42,2459","340,819",OK
30DS29,53955,221003T114237  53955,2022-10-03,11:42:37,"0,412","166,119","1392,05","21,6464","31,5351","41,4524","337,92","41,3233","339,192","40,904","371,95","42,4395","342,985",OK
30DS29,53956,221003T114355  53956,2022-10-03,11:43:55,"0,41","166,526","1398,59","21,692","31,5848","41,6201","340,24","41,362","337,821","41,0588","374,107","42,4846","346,422",OK
30DS29,53957,221003T114401  53957,2022-10-03,11:44:01,"0,412","166,577","1397,05","21,6996","31,4629","41,6201","341,225","41,4717","341,859","41,0201","372,414","42,4653","341,553",OK
30DS29,53958,221003T114417  53958,2022-10-03,11:44:17,"0,41","166,151","1392,72","21,6863","31,6255","41,5104","339,461","41,433","339,656","40,9233","372,126","42,2846","341,474",OK
30DS29,53959,221003T114423  53959,2022-10-03,11:44:22,"0,404","165,739","1386,44","21,692","31,3432","41,304","336,818","41,3879","338,738","40,8395","370,158","42,2072","340,725",OK
30DS29,53960,221003T114543  53960,2022-10-03,11:45:43,"0,4","167,042","1407,33","21,6502","31,4516","41,7427","342,508","41,5685","341,156","41,104","376,77","42,6266","346,898",OK
30DS29,53961,221003T114548  53961,2022-10-03,11:45:48,"0,41","167,487","1417,36","21,7605","31,5713","41,7943","345,428","41,5943","344,817","41,2782","378,169","42,8201","348,945",OK
30DS29,53962,221003T114553  53962,2022-10-03,11:45:53,"0,41","166,745","1403,56","21,7376","31,5509","41,6717","341,454","41,575","343,957","41,0459","373,618","42,4524","344,528",OK
30DS29,53963,221003T114643  53963,2022-10-03,11:46:43,"0,4","166,751","1406,33","21,673","31,368","41,6782","341,915","41,4072","340,424","41,1814","377,733","42,4846","346,26",OK
30DS29,53964,221003T114652  53964,2022-10-03,11:46:52,"0,394","166,803","1406,07","21,6597","31,508","41,4846","341,183","41,3491","339,034","41,2653","378,152","42,704","347,698",OK
30DS29,53965,221003T115142  53965,2022-10-03,11:51:42,"0,394","167,448","1413,05","21,6977","31,4064","41,9621","345,08","41,4266","341,485","41,3298","378,207","42,7298","348,275",OK
30DS29,53966,221003T115348  53966,2022-10-03,11:53:48,"0,412","167,48","1416,82","21,6464","31,5374","41,8395","345,597","41,6266","343,957","41,2201","377,244","42,7943","350,023",OK
30DS29,53967,221003T115358  53967,2022-10-03,11:53:58,"0,406","167,21","1414,26","21,6597","31,4154","41,8588","346,9","41,5298","344,762","41,1943","376,267","42,6266","346,327",OK
30DS29,53968,221003T115403  53968,2022-10-03,11:54:03,"0,4","166,687","1402,36","21,7491","31,3116","41,6717","343,438","41,433","340,93","40,9749","373,166","42,6072","344,827",OK
30DS29,53969,221003T115408  53969,2022-10-03,11:54:08,"0,406","166,048","1395,38","21,6426","31,5216","41,6395","342,809","41,3169","339,22","40,8524","371,664","42,2395","341,69",OK
30DS29,53970,221003T115413  53970,2022-10-03,11:54:13,"0,404","166,771","1403,48","21,6635","31,3545","41,8008","346,424","41,575","342,922","40,9749","371,686","42,4201","342,453",OK
30DS29,53971,221003T115418  53971,2022-10-03,11:54:18,"0,39","166,88","1405,76","21,7243","31,4222","41,8524","342,748","41,4846","340,465","41,0524","376,587","42,4911","345,963",OK
30DS29,53972,221003T115424  53972,2022-10-03,11:54:23,"0,374","167,313","1415,14","21,6901","31,5238","41,7685","344,727","41,5169","342,952","41,2588","378,094","42,7685","349,369",OK
30DS29,53973,221003T115429  53973,2022-10-03,11:54:29,"0,412","166,184","1396,74","21,6236","31,5125","41,6137","341,696","41,2975","340,262","40,9169","372,317","42,3556","342,464",OK
30DS29,53974,221003T115434  53974,2022-10-03,11:54:34,"0,402","165,997","1388,8","21,673","31,4403","41,5685","338,721","41,2008","337,065","40,8975","371,827","42,3298","341,185",OK
30DS29,53975,221003T115446  53975,2022-10-03,11:54:45,"0,402","165,861","1388,54","21,6578","31,5803","41,6008","340,403","41,2975","339,319","40,7878","368,883","42,175","339,929",OK
30DS29,53976,221003T115451  53976,2022-10-03,11:54:51,"0,376","166,513","1401,4","21,6369","31,6187","41,5685","341,347","41,2524","337,672","41,233","377,316","42,4588","345,069",OK
30DS29,53977,221003T115457  53977,2022-10-03,11:54:57,"0,394","167,01","1405,32","21,635","31,2461","41,7879","345,425","41,6201","342,899","41,0266","372,537","42,575","344,46",OK
30DS29,53978,221003T115505  53978,2022-10-03,11:55:05,"0,406","166,448","1399,25","21,73","31,2619","41,6459","341,565","41,3427","339,256","41,0653","374,442","42,3943","343,991",OK
30DS29,53979,221003T115510  53979,2022-10-03,11:55:10,"0,404","164,951","1377,1","21,7243","31,3996","41,2459","334,28","41,0524","334,722","40,6007","368,71","42,0524","339,387",OK
30DS29,53980,221003T115515  53980,2022-10-03,11:55:15,"0,388","165,803","1388,03","21,7395","31,3274","41,4266","337,067","41,1556","336,258","40,9362","372,638","42,2846","342,064",OK
30DS29,53981,221003T115520  53981,2022-10-03,11:55:20,"0,412","165,603","1379,39","21,7091","31,4584","41,4395","335,813","41,0588","333,281","40,833","370,442","42,2717","339,854",OK
30DS29,53982,221003T115525  53982,2022-10-03,11:55:25,"0,402","165,532","1383,09","21,7186","31,4764","41,3427","337,171","41,2072","335,013","40,7749","369,924","42,2072","340,98",OK
30DS29,53983,221003T115530  53983,2022-10-03,11:55:30,"0,4","166,777","1401,74","21,6882","31,4764","41,6782","343,076","41,2911","338,646","41,1556","375,045","42,6524","344,973",OK
30DS29,53984,221003T115535  53984,2022-10-03,11:55:35,"0,402","166,577","1401,39","21,6123","31,4132","41,6782","343,664","41,4846","342,587","41,0201","372,992","42,3943","342,143",OK
30DS29,53985,221003T115541  53985,2022-10-03,11:55:41,"0,398","165,119","1376,46","21,5743","31,4561","41,1943","334,897","40,9878","332,744","40,7298","369,295","42,2072","339,519",OK
30DS29,53986,221003T115546  53986,2022-10-03,11:55:46,"0,42","166,442","1393,22","21,6863","31,4313","41,4782","337,411","41,2201","337,149","40,9878","371,954","42,7556","346,705",OK
30DS29,53987,221003T115551  53987,2022-10-03,11:55:51,"0,41","165,719","1387,39","21,6179","31,6142","41,4008","338,345","41,2459","337,732","40,7491","368,976","42,3234","342,339",OK
30DS29,53988,221003T115601  53988,2022-10-03,11:56:01,"0,388","166,564","1396,51","21,7281","31,4787","41,3104","336,472","41,2911","337,215","41,2395","376,574","42,7234","346,248",OK
30DS29,53989,221003T115609  53989,2022-10-03,11:56:09,"0,394","166,448","1399,05","21,7491","31,3432","41,5233","340,002","41,3491","340,32","41,0266","373,957","42,5492","344,771",OK
30DS29,53990,221003T115619  53990,2022-10-03,11:56:19,"0,404","166,706","1397,1","21,77","31,5871","41,5621","338,28","41,433","339,945","41,2201","374,88","42,4911","343,991",OK
30DS29,53991,221003T115645  53991,2022-10-03,11:56:45,"0,406","166,377","1390,92","21,7452","31,6706","41,7169","339,931","41,2911","336,202","40,9556","371,411","42,4137","343,379",OK
30DS29,53992,221003T115655  53992,2022-10-03,11:56:55,"0,406","166,242","1393,78","21,7053","31,5396","41,4653","339,028","41,2846","337,765","41,0072","373,981","42,4846","343,003",OK
30DS29,53993,221003T115700  53993,2022-10-03,11:57:00,"0,402","166,519","1398,94","21,6711","31,3838","41,5814","340,499","41,4395","340,256","40,9814","373,193","42,5169","344,994",OK
30DS29,53994,221003T115705  53994,2022-10-03,11:57:05,"0,406","165,648","1381,02","21,6863","31,5984","41,5427","338,945","41,0524","335,477","40,7943","367,196","42,2588","339,398",OK
30DS29,53995,221003T115710  53995,2022-10-03,11:57:10,"0,386","165,971","1391,22","21,6426","31,6435","41,362","337,585","41,3491","337,566","40,962","373,081","42,2975","342,992",OK
30DS29,53996,221003T115715  53996,2022-10-03,11:57:15,"0,404","166,171","1391,65","21,6217","31,2054","41,375","337,002","41,2137","336,564","40,9814","372,084","42,6008",346,OK
30DS29,53997,221003T115720  53997,2022-10-03,11:57:20,"0,394","166,229","1391,52","21,6312","31,2393","41,4653","338,246","41,1943","336,709","41,0201","372,372","42,5492","344,19",OK
30DS29,53998,221003T115725  53998,2022-10-03,11:57:25,"0,402","166,719","1397,59","21,6768","31,578","41,6266","340,1","41,4072","337,855","41,104","375,162","42,5814","344,469",OK
30DS29,53999,221003T115756  53999,2022-10-03,11:57:56,"0,39","166,022","1395,41","21,6483","31,5893","41,4008","337,872","41,2782","337,528","40,9814","375,516","42,3621","344,496",OK
30DS29,54000,221003T115805  54000,2022-10-03,11:58:05,"0,404","166,674","1396,37","21,6047","31,6571","41,5298","338,357","41,6137","340,306","41,0072","373,434","42,5234","344,27",OK
